section_id,first_type,HVC,surround,log2_enrich
OR69PU4_2_7,GABA-1-2,0,0.010085728693898134,-6.67040538514652
OR69PU4_2_7,GABA-2-1,0,0.0030257186081694403,-4.9661160009052745
OR69PU4_2_7,GABA-7,0,0.0035300050428643467,-5.1818996473261105
OR69PU4_2_7,GABA-Pre,0,5.042864346949068e-4,-2.5952325561066734
OR69PU4_2_7,Glut-Arco-2,0,5.042864346949068e-4,-2.5952325561066734
OR69PU4_2_7,Glut-Arco-4,0,0.0015128593040847202,-4.011548687037204
OR69PU4_2_7,Glut-LMAN-1,0,5.042864346949068e-4,-2.5952325561066734
OR69PU4_2_7,Glut-NC-1,0,0.005042864346949067,-5.684500195191595
OR69PU4_2_7,Glut-NC-3,0,0.006051437216338881,-5.942851614712358
OR69PU4_2_7,Glut-NC-4,0,0.015128593040847202,-7.250638848162235
OR69PU4_2_7,Glut-NC/Glut-Nido,0,0.0010085728693898135,-3.470631700322228
OR69PU4_2_7,Glut-NR-1,0,0.029752899646999495,-8.221727258724611
OR69PU4_2_7,Glut-NR-3,0,0.020675743822491176,-7.698756319709412
OR69PU4_2_7,Glut-NR-4,0,5.042864346949068e-4,-2.5952325561066734
