gene,hvcra,int
ABCA13,-7.228186936744265,-1.6564572062630667
LOC110478439,-1.1036976548999955,-0.29191152614642935
TENM3,-1.0529932410474188,-0.4700937968571841
CACNG4,-4.637286879831419,-0.4962078386348867
IQSEC1,0.776195568132305,0.5116420320110937
LRRTM4,-0.9029987065760432,-0.061788818172044735
TCERG1L,-3.2490627443552627,-0.9740605546362838
RASGEF1A,0.6670837553147915,0.13935251464305898
MCTP1,0.9307237066246505,0.35395143663965967
TRPS1,-1.498730507434067,-0.5099883354889667
ASXL3,-1.8274521414782101,-0.841233569279786
ADAMTS19,2.890204189982941,2.3725485822234282
CD47,-2.1335966379654585,-1.2769475597849262
TSPAN4,-2.5767662438437835,0.48215579847532625
CHL1,-1.8886771901581039,-0.15186525475227058
ETV1,-5.460271252102349,-1.189159110263101
LRFN2,-1.5666646881597328,-0.38856131278224737
MTSS1,2.3202609689077707,1.1498785034307848
GRIN2A,1.1320409723814882,0.35077866038035155
LOC110477349,-3.4503528575635842,-0.48349000193946123
ZFPM2,0.6372685393342192,0.2562278859159415
CCSER1,-0.99522653515251025,-0.2985736516040367
ADD3,1.606829150441115,0.34392807749964216
KCND2,-2.1685439903168637,0.4835423302909385
LMO3,1.3972824876872387,0.31360209030837416
KCNG2,2.9335175578930786,1.8756885960146414
CRYBG1,2.7934518451438763,1.5836539408942798
GLIS3,2.2598590198199466,0.22531786828704403
EML4,1.3512230099265023,0.5552137906007821
NRG1,1.0652691808227774,0.57048727756419
BCL11B,-0.9857383914961899,-0.09898454888112496
THSD7A,-1.4992882976782484,-0.4448542212040738
BEAN1,-8.175398882324776,-4.051128128814799
PLXNA4,1.102752781050469,0.36694739807187704
AZ255-gr02,-5.162703438330346,-4.394576495045643
MAGI1,-1.7992884704192071,-0.09524405440887024
SV2C,-1.5475367996245202,-1.1127227147068046
RASL11B,-2.8485648711643687,-0.38206192631194025
RFTN1,-8.694472226422626,-4.3478090515762
KCNH7,-2.092503649498443,-0.5988954407146777
BEGAIN,-2.0807901424825674,-1.2626225166982696
GRIP1,2.172187171410835,1.160788465316185
PMEPA1,-5.709436665587253,-1.884726193936184
RYR2,0.638846253732428,0.09881678383615711
nbis-8,-4.9338715091244705,-3.7589746825445256
ERC1,1.2122482100792504,0.6644559782476611
JUN,-4.2420319927431125,-0.36287373706966575
